component,term,weight
1,inmunoterapio,0.002665
1,instruccion,0.032631
1,instrumento,0.004303
1,insulin,0.005549
1,integral,0.006183
1,interior,0.008165
1,intestinal,0.002406
1,intestino,0.011919
1,inusual,0.006231
1,invadir,0.021241
1,invasivo,0.009401
1,investigacion,0.008934
1,involucrado,0.002504
1,involuntario,0.005381
1,irregular,0.006694
1,irritacion,0.0007
1,junto,0.005599
1,justo,0.0094
1,labio,0.012689
1,lado,0.004262
1,largo,0.004661
1,lawrence,0.003243
1,lentamente,0.010645
1,lesion,0.047468
1,letterir,0.007146
1,leucemia,0.028444
1,libre,0.012689
1,libro,0.025908
1,limbico,0.004865
1,limitar,0.006731
1,linfatico,0.007526
1,linfocitico,0.002331
1,lippincott,0.003243
1,liquido,0.012712
1,llegar,0.012216
1,llevar,0.016592
1,lograr,0.012113
1,lucrir,0.014344
1,luego,0.00683
1,lugar,0.015751
1,lunar,0.076133
1,lung,0.012972
1,luz,0.097317
1,madre,0.018284
1,maduracion,0.002038
1,magnetico,0.006618
1,mama,0.020677
1,mancha,0.044877
1,mano,0.025378
1,mantener,0.005599
1,mantir,0.007533
1,mareo,0.004865
1,masa,0.086858
1,masculino,0.022898
1,matar,0.006731
1,maximo,0.002038
1,mayoclinic,0.006731
1,mayoriar,0.00284
1,mediante,0.014541
1,medida,0.013467
1,medido,0.022235
1,medio,0.002038
1,medula,0.001399
1,medula_osea,0.00373
1,mejorar,0.010781
1,melanoma,0.050755
1,melanomo,0.057099
1,memorio,0.003243
1,menopausia,0.004303
1,menor,0.006183
1,menos,0.010449
1,menstrual,0.006454
1,menudo,0.03051
1,metastasico,0.020885
1,metastasis,0.002038
1,miccion_frecuente,0.032057
1,microcitico,0.048646
1,mielogen,0.002798
1,mientras,0.00317
1,minucioso,0.006731
1,minuto,0.001604
1,mirar,0.013075
1,mision,0.014344
1,mismo,0.006413
1,molecula,0.003057
1,momento,0.020905
1,moretones,0.003264
1,morir,0.046401
1,motivo,0.009159
1,muerte,0.002038
1,muertir,0.002038
1,mujer,0.010086
1,multiplicar,0.012192
1,multipliquen,0.010924
1,mundo,0.005599
1,muscular,0.003243
1,musculo,0.003243
1,mutacion,0.013149
1,mutar,0.002038
1,natural,0.003972
1,nausea,0.020596
1,navigation,0.003553
1,necesario,0.012402
1,necesidad,0.010781
1,negro,0.034617
1,nervio,0.006555
1,nervioso,0.004865
1,neurologico,0.003243
1,ningun,0.013351
1,ninguno,0.003457
1,nino,0.003903
1,noche,0.005046
1,non,0.003243
1,normal,0.016243
1,normalidad,0.001485
1,normalmente,0.010743
1,norte,0.002038
1,nota,0.005381
1,notch,0.004076
1,novedad,0.003312
1,numero,0.007714
1,nunca,0.004303
1,nutrient,0.005381
1,obesidad,0.021743
1,objetivo,0.002953
1,observar,0.008034
1,obstante,0.008737
1,ocasion,0.005531
1,occidental,0.001821
1,ocultar,0.003553
1,ojo,0.01483
1,olor,0.004303
1,oncology,0.004865
1,onda,0.002038
1,oportunidad,0.014344
1,oreja,0.025378
1,org,0.006731
1,organismo,0.004656
1,organo,0.027607
1,origen,0.009159
1,originar,0.008501
1,orina,0.104554
1,orina_oscura,0.014564
1,oscuro,0.013277
1,oseir,0.010092
1,ovario,0.006731
1,padecer,0.005571
1,padre,0.016523
1,pai,0.002279
1,palabra,0.002038
1,paliativo,0.003243
1,palidez,0.002331
1,palpar,0.00204
1,pancoast,0.004865
1,pancreas,0.144668
1,papanicolaou,0.023665
1,papel,0.00775
1,paraneoplasico,0.016215
1,parecer,0.020518
1,pareja,0.008606
1,pariente,0.016306
1,participar,0.006731
1,partir,0.011311
1,pasar,0.005934
1,paso,0.006731
1,patologico,0.004076
1,patologo,0.002038
1,patrocinio,0.014344
1,pdf,0.003553
1,pdq,0.003243
1,peca,0.019033
1,pecar,0.0094
1,pecho,0.012899
1,pedir,0.01158
1,pelvico,0.006454
1,pequenar,0.006201
1,perder,0.003294
1,perdida_apetito,0.011587
1,perdida_peso,0.079485
1,periodo,0.006341
1,persistente,0.001734
1,personal,0.004575
1,pertinente,0.006731
1,pezon,0.0021
1,pezon_invertido,0.0021
1,philadelphia,0.004865
1,picazon,0.033412
1,piel,0.64494
1,pierna,0.028614
1,plano,0.004303
1,planta,0.007363
1,plaqueta,0.000933
1,poblacion,0.004189
1,podriar,0.011552
1,podrio,0.033189
1,polipo,0.007217
1,politico,0.015965
1,poner,0.005002
1,porcentaje,0.004189
1,posibilidad,0.012113
1,positivo,0.002038
1,potente,0.006731
1,practicar,0.003243
1,prb,0.003057
1,preguntar,0.008657
1,presencia,0.010178
1,presion,0.003243
1,presionar,0.00711
1,prevencion,0.022005
1,prevenir,0.029266
1,principalmente,0.000933
1,principio,0.005848
1,principl,0.003243
1,privacion,0.009159
1,probabilidad,0.045247
1,probable,0.019904
1,problema,0.015653
1,procedimiento,0.007433
1,procesado,0.001821
1,produccion,0.007599
1,producido,0.005766
1,profundo,0.007614
1,prolifera,0.013739
1,proliferacion,0.021514
1,proliferar,0.031007
1,promedio,0.002623
1,propagado,0.011797
1,propagar,0.003553
1,prostata,0.467122
1,prostatar,0.013739
1,proteccion,0.012689
1,protector,0.031722
1,protein,0.013247
1,proteinar,0.002038
1,proveedor,0.008606
1,provenir,0.014727
1,provocar,0.00844
1,pulmon,0.13419
1,quemadurar,0.019033
1,querer,0.010849
1,quier,0.006731
1,quimicar,0.005599
1,quimioterapiar,0.009187
1,quimioterapio,0.007823
1,radiacion,0.01484
1,radioterapia,0.016929
1,radioterapiir,0.00627
1,radioterapio,0.006201
1,rapidamente,0.018807
1,rapidez,0.005046
1,rapido,0.006531
1,raro,0.00317
1,rayo,0.008496
1,raza,0.014541
1,razon,0.007003
1,recaudacion,0.014344
1,recoger,0.004303
1,recomendar,0.012584
1,recto,0.019583
1,recubrir,0.006454
1,referir,0.002038
1,regular,0.017104
1,relacion,0.024571
1,relacionado,0.011342
1,reporte,0.002038
1,reproductivo,0.009159
1,reproductor,0.022344
1,requerir,0.002641
1,residir,0.002038
1,resonancia,0.006618
1,respaldar,0.014344
1,respecto,0.009159
1,respiracion,0.003312
1,respirar,0.003243
1,resultado,0.00868
1,resultar,0.004189
1,revisatir,0.012689
1,rinon,0.003243
1,ritmo,0.01139
1,rojo,0.008643
1,ronquera,0.006486
1,ropa,0.025378
1,rosenberg,0.003243
1,rosenbergs,0.003243
1,rostro,0.020655
1,rutin,0.004544
1,saciedad_temprana,0.001688
1,saltar,0.003553
1,saludable,0.044424
1,sangrado,0.065688
1,sangrado_piel,0.031722
1,sangrado_rectal,0.006415
1,sangrado_vaginal,0.017211
1,sangre_esputo,0.009729
1,sangre_heces,0.007621
1,sangre_orina,0.032057
1,sanguinear,0.00373
1,sanguineo,0.009401
1,sclc,0.003243
1,secrecion,0.002991
1,secrecion_pezon,0.00245
1,sed,0.003312
1,seguir,0.023995
1,segun,0.008725
1,segundo,0.009376
1,seguro,0.002953
1,semar,0.027478
1,sensacion,0.001284
1,sensibilidad,0.000816
1,sentar,0.002618
1,sentir,0.005993
1,sero,0.006731
1,sexual,0.046198
1,siadh,0.004865
1,siempre,0.014765
1,siglo,0.013354
1,significar,0.019306
1,similar,0.006401
1,sindromar,0.006486
1,sindrome,0.018639
1,sintomatico,0.002038
1,small,0.009729
1,sobreviviente,0.003312
1,sol,0.228398
1,solicite,0.012192
1,solo,0.01676
1,sombra,0.012689
1,sospechar,0.00317
1,sudoracion_nocturna,0.002331
1,suficiente,0.007533
1,sufrir,0.008165
1,sugerir,0.004303
1,superficie,0.015859
1,superior,0.023896
1,supervivencio,0.003553
1,supresor,0.006114
1,sustancia,0.009929
1,tabaco,0.005599
1,tabaquismo,0.010748
1,tal,0.01257
1,tamano,0.020779
1,tasa,0.009667
1,ten,0.005599
1,tender,0.009865
1,terapiar,0.024018
1,termino,0.001821
1,testosteronar,0.010178
1,tienda,0.011726
1,tipico,0.005381
1,tomo,0.004303
1,tos,0.009729
1,tos_persistente,0.012972
1,tragar,0.003243
1,transcripcion,0.007637
1,transmision,0.009511
1,trasmitar,0.004303
1,trastorno,0.001485
1,tratar,0.029046
1,trav,0.005208
1,treatment,0.003243
1,tumoral,0.004076
1,ubicacion,0.001821
1,ubicado,0.002038
1,ulcero,0.001845
1,ultravioleta,0.031722
1,urologo,0.013739
1,uso,0.008768
1,usted,0.001863
1,usualmente,0.002038
1,utero,0.139841
1,uv,0.031722
1,vacuna,0.011776
1,vaginal,0.012908
1,vaginar,0.006454
1,variar,0.006415
1,variedad,0.018928
1,vejigar,0.013739
1,velocidad,0.010092
1,vena,0.013041
1,verdura,0.011565
1,version,0.028157
1,vesicular,0.005418
1,vesiculo,0.002709
1,vhb,0.007133
1,vhc,0.003057
1,via,0.008127
1,video,0.017512
1,vih,0.008496
1,virion,0.002038
1,virus,0.06137
1,virus_papiloma,0.046198
1,visitar,0.006731
1,visto,0.00722
1,vitamina,0.006183
1,viviriar,0.010924
1,vomito,0.00976
1,vph,0.040877
1,zona,0.023428
2,abdomen,0.000217
2,abdominal,0.00062
2,aborto,8e-05
2,absorcion,0.000276
2,abundante,8e-05
2,acido,0.000184
2,acudir,0.007644
2,acumulacion,0.000265
2,acumular,0.007191
2,acuoso,5.3e-05
2,adema,0.014359
2,adicional,0.007317
2,afectado,0.000129
2,aflatoxinar,0.000368
2,africano,0.000184
2,agrandamiento,3.7e-05
2,agrandar,-0.011951
2,agua,0.007591
2,agudo,0.000946
2,ahora,0.007644
