term_id,name
734,sintomatico
735,small
736,sobreviviente
737,sol
738,solicite
739,solo
740,sombra
741,sospechar
742,sudoracion_nocturna
743,suficiente
744,sufrir
745,sugerir
746,superficie
747,superior
748,supervivencio
749,supresor
750,sustancia
751,tabaco
752,tabaquismo
753,tal
754,tamano
755,tasa
756,ten
757,tender
758,terapiar
759,termino
760,testosteronar
761,tienda
762,tipico
763,tomo
764,tos
765,tos_persistente
766,tragar
767,transcripcion
768,transmision
769,trasmitar
770,trastorno
771,tratar
772,trav
773,treatment
774,tumoral
775,ubicacion
776,ubicado
777,ulcero
778,ultravioleta
779,urologo
780,uso
781,usted
782,usualmente
783,utero
784,uv
785,vacuna
786,vaginal
787,vaginar
788,variar
789,variedad
790,vejigar
791,velocidad
792,vena
793,verdura
794,version
795,vesicular
796,vesiculo
797,vhb
798,vhc
799,via
800,video
801,vih
802,virion
803,virus
804,virus_papiloma
805,visitar
806,visto
807,vitamina
808,viviriar
809,vomito
810,vph
811,zona
