term,doc_1,doc_2,doc_3,doc_4,doc_5,doc_6,doc_7,doc_8,doc_9,doc_10
convulsion,3,0,0,0,0,0,0,0,0,0
corporal,0,0,0,0,1,0,2,0,0,0
correr,0,0,2,0,1,0,0,0,0,0
cosa,1,0,0,0,0,1,0,0,0,0
costilla,0,0,0,0,0,0,0,2,0,0
crecer,0,1,0,0,2,0,3,1,4,0
crecimiento,0,0,0,0,0,0,6,0,0,0
creer,1,0,0,1,0,0,1,0,1,0
cromosomar,0,0,0,0,0,0,3,0,0,0
cronico,0,0,0,0,0,0,1,0,9,0
cuanto,0,0,1,0,0,0,0,0,0,2
cuatro,0,0,0,0,0,0,3,0,0,0
cuello,2,0,0,1,0,0,0,0,0,55
cuello_uterino,0,0,0,0,0,0,1,0,0,16
cuero,0,0,0,2,0,0,0,0,0,0
curar,0,0,0,0,4,0,0,0,0,0
cushing,4,0,0,0,0,0,0,0,0,0
cutaneo,0,1,0,2,0,0,0,0,0,0
debajo,0,0,0,1,2,0,1,1,0,0
debido,2,0,1,0,0,0,1,0,0,0
debilitado,0,0,0,4,0,0,0,0,0,3
decision,0,0,0,0,2,0,1,0,0,1
dejar,0,0,1,0,1,0,1,0,0,1
delgado,0,0,0,0,0,0,2,0,0,1
demasiado,1,1,1,0,0,0,0,0,1,0
demostrado,0,0,0,0,2,0,1,0,0,0
denominado,0,1,0,1,0,0,0,0,0,0
denominar,1,0,1,0,0,0,0,0,0,0
dentro,1,0,0,0,0,0,3,0,0,0
derecho,2,0,0,0,0,0,0,2,0,0
derivar,0,0,0,1,0,0,1,0,0,1
desafortunadamente,0,0,0,0,1,0,0,0,0,1
desaparecer,2,0,0,0,0,0,0,0,0,1
desarrollado,0,0,0,0,0,0,2,0,0,0
desarrollar,0,0,0,2,1,0,3,0,0,1
descargar,1,0,0,0,0,1,0,1,0,0
descomponer,0,0,1,0,0,0,1,2,0,0
descripcion,0,0,0,1,1,0,0,0,1,0
descubrir,1,0,0,0,0,0,1,0,1,0
desear,0,0,0,0,2,0,0,0,0,1
despacio,0,0,1,0,1,0,0,0,0,0
destruir,0,0,1,2,1,0,0,1,0,2
detecto,0,0,0,0,4,0,0,0,0,0
determinacion,2,0,0,0,0,1,0,1,0,0
determinado,0,0,0,1,2,0,0,0,1,0
determinar,2,0,1,0,2,0,1,0,0,0
diabet,0,0,1,0,0,0,1,1,0,0
diabetes,0,0,0,0,0,0,0,4,0,0
diagnosticar,1,0,0,0,0,0,2,0,0,0
diar,0,0,2,0,0,0,1,0,0,0
diario,0,0,2,0,0,0,0,0,0,0
diarrea,0,0,5,0,0,0,0,0,0,0
dietilestilbestrol,0,0,0,0,0,0,0,0,0,2
diferenciacion,0,0,0,0,0,0,2,0,0,0
diferenciar,0,0,0,0,1,0,3,0,0,0
diferente,0,0,1,1,2,0,3,0,0,1
dificil,0,0,0,0,1,0,1,0,0,1
dificultad,4,0,0,0,4,0,0,1,0,0
dificultad_orinar,0,0,0,0,8,0,0,0,0,0
